URL,ページ,コード,納付先,納付金額（法人税）,納付金額（地方法人税）,納付金額（合計）
\\Sv05121a\e\電子ファイル\メッセージボックス\TEST\el\109_有限会社 シラカワ_納付情報登録依頼_20220214 210452.pdf,2ページ,109,西条税務署,"159,500円","16,500円","176,000円"
URL,ページ,コード
\\Sv05121a\e\電子ファイル\メッセージボックス\2022-2\eTAX\109_有限会社 シラカワ\109_有限会社 シラカワ_内国法人の確定申告(青色)_20220214 210452.pdf,2ページ,109
URL,ページ,コード
\\Sv05121a\e\電子ファイル\メッセージボックス\2022-2\eTAX\109_有限会社 シラカワ\109_有限会社 シラカワ_内国法人の確定申告(青色)_20220215 091041.pdf,2ページ,109
URL,ページ,コード
\\Sv05121a\e\電子ファイル\メッセージボックス\2022-2\eTAX\109_有限会社 シラカワ\109_有限会社 シラカワ_普通法人の確定申告(青色)_20220215 092755.pdf,2ページ,109
URL,ページ,コード
\\Sv05121a\e\電子ファイル\メッセージボックス\2022-2\eTAX\109_有限会社 シラカワ\109_有限会社 シラカワ_消費税及び地方消費税申告(一般・法人)_20220214 210509.pdf,2ページ,109
URL,ページ,コード
\\Sv05121a\e\電子ファイル\メッセージボックス\2022-2\eTAX\109_有限会社 シラカワ\109_有限会社 シラカワ_消費税及び地方消費税申告(一般・法人)_20220215 091059.pdf,2ページ,109
URL,ページ,コード
\\Sv05121a\e\電子ファイル\メッセージボックス\2022-2\eTAX\109_有限会社 シラカワ\109_有限会社 シラカワ_消費税及び地方消費税申告(一般・法人)_20220215 091656.pdf,2ページ,109
URL,ページ,コード
\\Sv05121a\e\電子ファイル\メッセージボックス\2022-2\eTAX\109_有限会社 シラカワ\109_有限会社 シラカワ_消費税及び地方消費税申告(一般・法人)_20220215 092810.pdf,2ページ,109
URL,ページ,コード
\\Sv05121a\e\電子ファイル\メッセージボックス\2022-2\eTAX\109_有限会社 シラカワ\109_有限会社 シラカワ_納付情報登録依頼_20220214 210509.pdf,2ページ,109
URL,ページ,コード
\\Sv05121a\e\電子ファイル\メッセージボックス\2022-2\eTAX\109_有限会社 シラカワ\109_有限会社 シラカワ_納付情報登録依頼_20220215 091059.pdf,2ページ,109
URL,ページ,コード
\\Sv05121a\e\電子ファイル\メッセージボックス\2022-2\eTAX\109_有限会社 シラカワ\109_有限会社 シラカワ_納付情報登録依頼_20220215 091656.pdf,2ページ,109
URL,ページ,コード
\\Sv05121a\e\電子ファイル\メッセージボックス\2022-2\eTAX\109_有限会社 シラカワ\109_有限会社 シラカワ_納付情報登録依頼_20220215 092810.pdf,2ページ,109
URL,ページ,コード
\\Sv05121a\e\電子ファイル\メッセージボックス\2022-2\eTAX\116_有限会社 ナカイ\116_有限会社 ナカイ_内国法人の確定申告(青色)_20220224 161831.pdf,2ページ,116
URL,ページ,コード
\\Sv05121a\e\電子ファイル\メッセージボックス\2022-2\eTAX\118_有限会社 龍野畳商会\118_有限会社 龍野畳商会_内国法人の確定申告(青色)_20220224 162816.pdf,2ページ,118
URL,ページ,コード
\\Sv05121a\e\電子ファイル\メッセージボックス\2022-2\eTAX\118_有限会社 龍野畳商会\118_有限会社 龍野畳商会_消費税及び地方消費税申告(簡易課税・法人)_20220224 172601.pdf,2ページ,118
URL,ページ,コード
\\Sv05121a\e\電子ファイル\メッセージボックス\2022-2\eTAX\118_有限会社 龍野畳商会\118_有限会社 龍野畳商会_納付情報登録依頼_20220224 172601.pdf,2ページ,118
URL,ページ,コード
